主题,子主题,公司,业绩,归母同比,归母环比,归母上年同期(亿),扣非同比,扣非环比,扣非上年同期(亿),主营业务,原因,舆论,是否最新,是否关注
其他产业链,,兴通股份（603209）~55亿,同向上升,+55.16% ~ +64.75%,+89% ~ +101%,1.35,+17.17% ~ +33.06%,+40% ~ +59%,1.32,国内外化学品、油品水上运输,运力扩容+航线优化+精细化运营，内贸稳健外贸提质,暂无机构一致预期数据。焦点：运力扩容+航线优化，内外贸双轮驱动,,
其他产业链,,金城医药（300233）~55亿,同向上升,+153.55% ~ +222.71%,-10% ~ +41%,0.43,—,—,—,医药中间体,中间体产品销量增加、产能利用率提高及非经常性损益增加,暂无机构覆盖（小市值，机构关注度有限）。焦点：医药中间体量价齐升,,
其他产业链,,松霖科技（603992）~45亿,同向上升,+50.40% ~ +98.74%,+50% ~ +119%,0.93,+76.08% ~ +139.47%,+44% ~ +117%,0.71,家居卫浴产品,越南生产基地产能投放，新项目转化，业务持续向好,暂无机构覆盖。焦点：越南产能释放+海外布局加速,,
其他产业链,,赛意信息（300687）~45亿,同向上升,+188.36% ~ +257.01%,-36% ~ +3%,0.18,+193.89% ~ +264.62%,-36% ~ +4%,0.18,企业管理IT解决方案,内部管理改善降本增效，市场开拓力度加大业务规模提升,暂无机构覆盖（小市值困境反转）。焦点：经营改善+业务扩张双驱动，困境反转确认,,
其他产业链,,汇嘉时代（603101）~35亿,同向上升,+43.18% ~ +59.59%,+49% ~ +66%,0.67,+43.55% ~ +60.97%,+56% ~ +75%,0.63,超市百货零售,超市调改红利释放，生鲜直采及供应链优化提毛利，即时零售增量,6家机构一致预期（截至2026-06-10）2026年净利润1.34亿，EPS 0.29元。焦点：超市调改+即时零售双轮驱动,,
其他产业链,,沃华医药（002107）~30亿,同向上升,+45.49% ~ +79.07%,+2% ~ +37%,0.45,—,—,—,中成药,精细化管理降本增效，优化产品结构实现利润显著提升,暂无机构覆盖（小市值，机构关注度有限）。焦点：中药+精细化管理驱动利润改善,,
其他产业链,,西菱动力（300733）~30亿,同向上升,+16.36% ~ +21.73%,Q2环比下降,0.56,-53.77% ~ -59.69%,Q2环比大幅下降,0.51,汽车发动机零部件,收购上海菱驱形成负商誉约4800万计入营业外收入；扣非同比下降,暂无机构覆盖。焦点：负商誉一次性收益贡献大，扣非下滑主业仍承压,,
AI 硬件产业链,光通信,光库科技（300620）~778亿,🟢 同向上升,+170% ~ +190%,+113% ~ +136%,0.52,+199% ~ +219%,+146% ~ +172%,0.41,高速光模块、光器件（无源/有源光器件）,受益全球AI算力基础设施投资加速与数据中心建设，高速光模块及光器件市场需求持续增长,暂无机构一致预期数据（仅1家机构覆盖）。焦点：光器件龙头受益AI算力投资,,
AI 硬件产业链,计算,浪潮信息（000977）~1040亿,🟢 同向上升,+226% ~ +288%,+230% ~ +312%,7.99,+206% ~ +280%,+148% ~ +233%,6.72,AI服务器、云计算基础设施,紧抓AI行业上行机遇，持续产品技术创新，促进经营业绩大幅增长,17家机构一致预期（截至2026-07-06）2026年净利润35.49亿，EPS 2.42元。焦点：AI服务器龙头受益国内CSP资本开支高增,,
AI 硬件产业链,计算,智微智能（001339）~332亿,🟢 同向上升,+244.56% ~ +309.65%,+121% ~ +183%,1.02,+281% ~ +356.47%,—,0.87,智算服务、ICT基础设施（AI算力、工控智能硬件）,AI产业高景气度驱动智算业务高速发展，ICT基础设施出货量同比大幅增长,9家机构关注，目标均价88.48元。焦点：腾云智算进入兑现期,,
AI 硬件产业链,其他,安凯微（688620）~68亿,🟢 扭亏为盈,扭亏为盈（上期亏损）,—,亏损（上期-0.49亿）,扭亏为盈,—,亏损（上期-0.51亿）,物联网智能硬件核心SoC芯片,市场需求持续增长，已推出产品逐步导入市场，上调销售价格应对原材料成本上涨,暂无机构覆盖（扭亏初期）。焦点：AI SoC芯片需求增长,,
算力租赁产业链,,行云科技（300209）,🟢 扭亏为盈,+432.77% ~ +699.15%,—,亏损（上期-0.02亿）,扭亏为盈,—,亏损,算力服务、电商,算力业务快速发展，已销售67台服务器并确认当期收入,暂无机构覆盖（算力转型初期）。焦点：算力业务快速发展驱动扭亏,,
其他产业链,,松发股份（603268）~1557亿,🟢 预增,+456.33%,+129%,6.47,+2922.83%,—,1.16,船舶制造、高端装备（恒力重工）,全球造船市场延续高景气周期，新签订单量价齐升,10家机构一致预期（截至2026-07-05）2026年净利润70.15亿，EPS 7.23元；东吴证券买入,,
其他产业链,,恒力石化（600346）~1319亿,🟢 预增,+136.06%,-15.86%,30.50,+132.10%,+21.44%,22.96,炼化一体化、PTA、聚酯新材料,石油化工行业供需格局改善，产品价差扩大，一体化全产业链协同效应释放,暂未查到机构一致预期数据。焦点：H1归母72亿超去年全年,,
其他产业链,,海通发展（603162）~132亿,🟢 同向上升,+475% ~ +532%,—,0.87,+479% ~ +537%,—,0.86,干散货航运,全球干散货航运市场回暖运价中枢上移，扩大运力优化航线布局,暂无机构一致预期数据。焦点：干散货航运周期反转,,
AI 硬件产业链,计算,工业富联（601138）~13151亿,🟢 预增,+93.00% ~ +101.00%,待补（研究中）,待补（研究中）,+84.00% ~ +99.00%,待补（研究中）,待补（研究中）,AI服务器、云计算设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,存储,兆易创新（603986）~4295亿,🟢 预增,+1099.00%,待补（研究中）,63.25,+791.00%,待补（研究中）,43.06,存储芯片（NOR Flash）、MCU,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,设备,大族激光（002008）~1342亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,激光加工设备,1、受益于AI服务器和高速网络交换机等计算基础设施的大规模部署，为PCB行业结构性增长提供动能，公司子公司大族数控（证券代码：301200）紧抓行业龙头客户扩产及新产品研发带来的投资机遇，AIPCB相关解决方案营收占2026年半年度业绩预告,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,其他,香农芯创（300475）~1272亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,1.56,电子元器件分销,2026年上半年，受人工智能相关需求增长影响，互联网数据中心等领域对企业级存储产品的需求持续增加，存储芯片行业保持高景气度，相关产品价格较上年同期稳步上涨。公司电子元器件分销业务销售综合毛利率同比提高，带动公司盈利水平大幅提升。同时，公司自,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,计算,紫光股份（000938）~1099亿,🟢 同向上升,+83.50% ~ +122.89%,待补（研究中）,10.41,+44.02% ~ +80.69%,待补（研究中）,11.18,网络设备、服务器（新华三）,公司预计2026年1-6月归属于上市公司股东的净利润较上年同期大幅增长，主要原因如下：1、在人工智能算力需求爆发的强劲驱动下，2026年上半年ICT市场继续保持快速增长。公司积极把握智算和国产化领域带来的市场机遇，持续深耕行业市场；加快产品,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,其他,鼎龙股份（300054）~792亿,🟢 同向上升,+63.96% ~ +73.61%,待补（研究中）,待补（研究中）,+64.42% ~ +74.64%,待补（研究中）,2.94,半导体材料（CMP抛光垫、光刻胶）,公司是国内领先的关键大赛道领域中各类核心创新材料的平台型公司。2026年上半年度，公司预计实现营业收入19.25亿元，同比增长约11%；预计实现归属于上市公司股东的净利润5.1亿元~5.4亿元，同比增长63.96%~73.61%。若剔除出表,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,PCB,方正科技（600601）~563亿,🟢 预增,+196.00% ~ +265.00%,待补（研究中）,1.73,+204.00% ~ +270.00%,待补（研究中）,1.65,PCB印制电路板,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,PCB,世运电路（603920）~301亿,🔴 同向下降,-82.56% ~ -73.97%,待补（研究中）,3.84,-89.62% ~ -84.57%,待补（研究中）,3.57,PCB印制电路板,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,设备,至纯科技（603690）~128亿,🔴 同向下降,待补（研究中）,待补（研究中）,亏损-2.60,待补（研究中）,待补（研究中）,待补（研究中）,半导体湿法工艺设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
AI 硬件产业链,PCB,博敏电子（603936）~125亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,PCB印制电路板,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,天华新能（300390）~546亿,🟢 同向上升,待补（研究中）,待补（研究中）,亏损-0.93,待补（研究中）,待补（研究中）,亏损-1.40,锂电（氢氧化锂）、光伏,1、公司2026年半年度业绩较上年同期大幅增长的主要原因是：报告期内由于储能、动力电池下游等领域对锂电资源的旺盛需求，公司锂电材料业务量价齐升，销售收入及利润有所增长。2、公司预计2026年半年度非经常性损益对归属于上市公司股东的净利润的影,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,恩捷股份（002812）~538亿,🟢 扭亏为盈,扭亏为盈,待补（研究中）,亏损0.93,待补（研究中）,待补（研究中）,亏损0.95,锂电隔膜,报告期内，锂电池隔膜下游市场延续旺盛需求态势，公司积极调配产能，有效匹配下游客户对高品质隔膜的需求，带动产品销量实现稳步攀升，叠加全流程成本管控，单位成本控制成效良好。与此同时，随着行业供需关系持续优化，隔膜产品价格较上年低点已企稳回升，为,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,多氟多（002407）~489亿,🟢 同向上升,+776.68% ~ +990.98%,待补（研究中）,0.51,待补（研究中）,待补（研究中）,亏损0.05,六氟磷酸锂、锂电材料、氟化工,2026年半年度，公司经营业绩同比有较大幅度提升，主要原因：1.新能源行业景气度持续向好，储能市场、新能源汽车等下游客户需求稳步增长。公司核心产品六氟磷酸锂受益于行业供需格局优化，量价同比显著回升；公司项目本报告期上年同期归属于上市公司股东,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,中矿资源（002738）~374亿,🟢 同向上升,待补（研究中）,待补（研究中）,0.89,待补（研究中）,待补（研究中）,0.08,锂铯铷矿、有色采选,2026年上半年，公司预计归属于上市公司股东的净利润较上年同期实现较大幅度增长，主要变动原因如下：1.受益于下游储能及动力电池行业的发展，锂盐产品价格同比上行，公司锂电新能源原料开发与利用板块经营效益改善，利润实现同比增长，公司整体盈利水平,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,融捷股份（002192）~185亿,🟢 同向上升,+956.84%,待补（研究中）,0.85,待补（研究中）,待补（研究中）,0.73,锂矿、锂电材料,报告期内锂精矿产销量及销售价格同比大幅增长，以及联营锂盐企业成都融捷锂业净利润大幅增加，致使公司净利润同比大幅增长。,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,石大胜华（603026）~160亿,🟢 预盈,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,电解液溶剂（碳酸酯）、锂电材料,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,宇晶股份（002943）~116亿,🔴 同向下降,待补（研究中）,待补（研究中）,0.12,待补（研究中）,待补（研究中）,0.01,光伏、半导体切割设备,经公司财务部门初步测算，2026年半年度归属于上市公司股东的净利润预计为亏损，主要系报告期内，公司主要子公司金刚石线产品及切片加工业务所处光伏行业景气度下行、产品毛利进一步下降等因素影响，经营业绩未达预期，出现较大幅度亏损。另外公司主营设备,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,江苏新能（603693）~105亿,🔴 同向下降,-53.00%,待补（研究中）,1.49,-40.00%,待补（研究中）,1.07,新能源发电（风电、光伏）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,信德新材（301349）~72亿,🟢 同向上升,+562.34% ~ +664.24%,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,亏损-0.04,负极包覆材料（锂电）,2026年半年度业绩同比上年同期增长，主要驱动因素如下：一是新能源行业景气度持续上行，动力电池、储能市场需求同步放量，高压快充车型渗透率持续提升，带动负极包覆材料整体市场需求旺盛。公司依托国内龙头的行业地位、稳定头部客户资源及东北、西南、华,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,顺发恒能（000631）~66亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,0.14,风电、房地产开发,报告期内，公司归属于上市公司股东的净利润较上年同期减少的主要原因：1、公司风电项目所在区域风况均弱于上年同期；子公司浙江东海德迦风力发电有限公司正在进行风电场扩容升级改造，发电量减少；2025年7月起，子公司顺发大陈风电场（台州）有限公司补,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,丰元股份（002805）~62亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,锂电正极材料,报告期内，受益于全球新能源行业景气度持续上行，锂电池正极材料下游需求持续增长，公司产品产销量与产能利用率较上年同期实现大幅增长，规模效应带动单位制造费用持续优化，同时叠加本期政府补助收益，公司经营业绩实现扭亏为盈，盈利能力较去年同期得到显著,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,安彩高科（600207）~50亿,🔴 预亏,待补（研究中）,待补（研究中）,亏损-2.15,待补（研究中）,待补（研究中）,0.58,光伏玻璃、天然气,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,维科技术（600152）~45亿,🟢 预亏,待补（研究中）,待补（研究中）,亏损-0.39,待补（研究中）,待补（研究中）,待补（研究中）,消费电池、锂电池,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,麦加芯彩（603062）~42亿,🔴 同向下降,-62.76% ~ -68.21%,待补（研究中）,1.04,-65.30% ~ -71.61%,待补（研究中）,0.89,风电涂料、集装箱涂料,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,鹿山新材（603051）~37亿,🟢 预增,+151.00% ~ +276.50%,待补（研究中）,0.16,+151.00% ~ +276.50%,待补（研究中）,0.02,光伏胶膜、热熔胶,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,清源股份（603628）~25亿,🔴 同向下降,-70.04% ~ -79.26%,待补（研究中）,0.79,-72.08% ~ -81.39%,待补（研究中）,0.78,光伏支架,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
新能源产业链,其他,时代万恒（600241）~19亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,锂离子电池、贸易,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,紫金矿业（601899）~7371亿,🟢 预增,+68.00%,待补（研究中）,158.00,+75.00%,待补（研究中）,163.00,金铜矿采选冶,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中信证券（600030）~4209亿,🟢 预增,+69.59%,待补（研究中）,待补（研究中）,+73.40%,待补（研究中）,233.43,证券,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,洛阳钼业（603993）~3744亿,🟢 预增,+78.76% ~ +90.29%,待补（研究中）,待补（研究中）,+71.94% ~ +83.40%,待补（研究中）,待补（研究中）,铜钴钼矿采选冶,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,陕西煤业（601225）~2222亿,🟢 预增,+47.00% ~ +53.00%,待补（研究中）,89.35,+31.76% ~ +38.10%,待补（研究中）,72.23,煤炭开采,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,牧原股份（002714）~2202亿,🔴 同向下降,-154.13% ~ -163.63%,待补（研究中）,105.30,-151.51% ~ -160.88%,待补（研究中）,106.77,生猪养殖,报告期内，公司通过深化生猪健康管理与生产管理，提高精细化管理能力，生猪养殖成本较上年同期下降，但由于生猪销售价格同比出现较大幅度下降，商品猪销售均价约10.4元/公斤，同比下降约28%，导致公司2026年上半年经营业绩出现亏损。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,宏桥控股（002379）~1883亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,亏损1.25,铝箔加工,公司业绩增长的主要原因为：2026年上半年，电解铝市场销售价格同比大幅上涨，相关业务毛利实现显著提升；同时，公司本期借款规模较上年同期明显缩减，财务利息支出大幅减少，进一步增厚利润。扣除非经常性损益后的净利润大幅变动的主要原因为：2025年,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,思源电气（002028）~1187亿,🟢 同向上升,+15.03%,待补（研究中）,12.93,+14.83%,待补（研究中）,12.36,输变电设备、电力自动化,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中远海能（600026）~863亿,🟢 预增,待补（研究中）,待补（研究中）,待补（研究中）,+141.00%,待补（研究中）,45.00,油轮、LNG海上运输,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,西部矿业（601168）~725亿,🟢 同向上升,+120.00% ~ +137.00%,待补（研究中）,18.69,+120.00% ~ +137.00%,待补（研究中）,18.34,铜铅锌矿采选冶,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,风华高科（000636）~694亿,🟢 同向上升,+61.84% ~ +79.82%,待补（研究中）,1.67,+55.57% ~ +73.18%,待补（研究中）,1.70,被动元件（MLCC等）,（一）报告期，得益于电子元器件行业景气度持续上行，公司MLCC、片式电阻器、电感器等主营产品市场需求持续增长，公司集中资源聚焦高端转型和新兴市场开拓，主营产品销量及单价同比上升。（二）2026年，公司持续推进极致降本、高效创新、新兴市场2开,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,三六零（601360）~634亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,1.80,网络安全、互联网服务,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,广汽集团（601238）~529亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,汽车整车制造,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,长江证券（000783）~483亿,🟢 同向上升,+80.00% ~ +90.00%,待补（研究中）,17.37,+81.00% ~ +91.00%,待补（研究中）,17.11,证券,2026年上半年，资本市场保持良好发展态势，公司围绕建设一流投资银行目标，锚定服务实体经济发展、服务科技产业创新、服务社会财富管理、服务区域重大战略“四个服务”功能定位，抓住市场机2会、提升综合实力，各项业务保持稳健发展，归属于上市公司股东,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,盛和资源（600392）~426亿,🟢 预增,+112.25% ~ +146.75%,待补（研究中）,3.77,+117.32% ~ +153.09%,待补（研究中）,3.64,稀土矿冶分离,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中泰证券（600918）~420亿,🟢 预增,+146.31%,待补（研究中）,10.41,+144.48%,待补（研究中）,17.52,证券,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中船防务（600685）~404亿,🟢 预增,+50.08% ~ +69.08%,待补（研究中）,5.26,+50.71% ~ +71.08%,待补（研究中）,4.91,造船、海洋工程,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,万科A（000002）~371亿,🔴 同向下降,待补（研究中）,待补（研究中）,亏损119.47,待补（研究中）,待补（研究中）,亏损115.91,房地产开发,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,华新建材（600801）~358亿,🔴 预增,-50.00% ~ -60.00%,待补（研究中）,5.50,-51.40% ~ -61.70%,待补（研究中）,5.50,水泥,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,盛屯矿业（600711）~332亿,🟢 预增,+66.24% ~ +85.23%,待补（研究中）,待补（研究中）,+59.18% ~ +76.39%,待补（研究中）,待补（研究中）,钴镍铜有色金属矿采选,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,国恩股份（002768）~252亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,+73.78% ~ +115.73%,待补（研究中）,3.34,改性塑料、复合材料,"2026年上半年，公司预计归属于上市公司股东的净利润为60,000.00万元-75,000.00万元，较上年同期增长73.48%-116.85%，主要原因如下：报告期内，公司精准研判上游石化原料市场动向，依托“单体-合成树脂-有机高分子改性",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,深深房Ａ（000029）~229亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,房地产开发,"公司业绩变动的主要原因：报告期内公司房地产销售结转收入同比下降。深圳经济特区房地产（集团）股份有限公司ShenzhenSpecialEconomicZoneRealEstate&Properties(Group)Co.,Ltd2",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,梅花生物（600873）~226亿,🔴 同向下降,-55.00% ~ -66.00%,待补（研究中）,待补（研究中）,-61.00% ~ -74.00%,待补（研究中）,待补（研究中）,氨基酸（味精、饲料）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,高能环境（603588）~226亿,🟢 预增,+79.13% ~ +118.94%,待补（研究中）,5.02,+87.02% ~ +131.03%,待补（研究中）,4.54,固废处理、环境修复,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,翰宇药业（300199）~225亿,🟢 同向上升,+54.67% ~ +68.42%,待补（研究中）,1.45,+75.88% ~ +92.09%,待补（研究中）,1.23,多肽药物,报告期内归属于上市公司股东的净利润同比大幅增长，主要原因在于报告期内公司原料药业务持续放量，带来营收、利润双增长。同时公司财务精细化管理水平不断提升，除了三靶点创新药HY3003等项目研发费用同比大幅增加，其他费用类管控合理。2,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,吉祥航空（603885）~223亿,🔴 预减,-58.46% ~ -72.30%,待补（研究中）,4.35,-78.29% ~ -85.53%,待补（研究中）,3.78,航空客运,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,盈新发展（000620）~213亿,🔴 同向下降,待补（研究中）,待补（研究中）,亏损1.61,待补（研究中）,待补（研究中）,亏损1.64,文旅、房地产开发,报告期内，公司围绕战略转型目标，积极调整业务布局，优化资产结构和债务结构。归属于上市公司股东的净利润实现扭亏为盈主要系本期处置子公司股权所致，处置子公司西宁盈新置业有限公司和新丝路控股集团有限公司股权确认投资收益合计约3.85亿元，上述投资,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,东方精工（002611）~211亿,🟢 同向上升,+700.00% ~ +800.00%,待补（研究中）,3.97,-60.00% ~ -70.00%,待补（研究中）,2.57,智能包装设备、瓦楞纸箱设备,2026年4月9日，公司完成对FosberS.p.A.、广东佛斯伯智能设备有限公司及狄伦拿（广东）智能装备制造有限公司三家子公司100%股权的出售交割。根据权责发生制原则和《企业会计准则》关于控制权转移的相关规定，公司于2026年第二季度在,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,三孚股份（603938）~202亿,🟢 同向上升,+191.22% ~ +222.43%,待补（研究中）,待补（研究中）,+224.13% ~ +260.11%,待补（研究中）,待补（研究中）,硅材料、化工,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,杭钢股份（600126）~201亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,0.13,钢铁、IDC数据中心,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,力量钻石（301071）~197亿,🟢 同向上升,+208.71% ~ +258.88%,待补（研究中）,0.26,待补（研究中）,待补（研究中）,0.05,培育钻石,报告期内公司业绩同比大幅增长，主要原因系公司在超大颗粒金刚石单晶合成、晶体高效生长等关键技术研发取得突破性进展，培育钻石原石出口市场持续向好，带动公司产品销售额大幅增长。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,三星电气（601567）~196亿,🔴 同向下降,-63.81% ~ -50.80%,待补（研究中）,12.30,-70.50% ~ -56.42%,待补（研究中）,11.36,智能电表、配电设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,泰晶科技（603738）~180亿,🟢 同向上升,+95.07% ~ +140.44%,待补（研究中）,0.22,+173.37% ~ +264.49%,待补（研究中）,0.11,石英晶体谐振器（晶振）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,绿地控股（600606）~178亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,房地产开发,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,安孚科技（603031）~178亿,🟢 同向上升,+68.94% ~ +97.10%,待补（研究中）,1.07,+67.38% ~ +100.46%,待补（研究中）,1.03,电池（南孚电池）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,珠江啤酒（002461）~172亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,5.87,啤酒酿造,本报告期，公司实现啤酒销量和营业收入同比增长，产品结构持续优化，实现经济效益稳步提升，预计归属于上市公司股东的净利润比上年同期增长5.00%至15.00%。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,北方导航（600435）~172亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,军工（导航、光电）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,启明星辰（002439）~162亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,网络安全、城市安全,报告期内，公司聚焦网信安全主责主业，坚定战略执行，持续强化科技创新、市场拓展和提质增效。收入提速，利润释放，现金流健康。预计归母净利润与扣非后归母净利润双双盈利且持续增长，经营性现金流净流入同比增长约140%，公司高质量发展根基进一步夯实。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,四川黄金（001337）~159亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,黄金采选,2026年半年度，公司继续保持稳健经营，净利润同比上升主要系金精矿销售量增加及金价同比上涨所致。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,西子洁能（002534）~146亿,🔴 同向下降,-130.45% ~ -143.99%,待补（研究中）,1.48,-162.14% ~ -185.44%,待补（研究中）,1.29,余热锅炉、清洁能源设备,1、受国内新能源上网电价市场化改革政策调整、国际地缘政治等因素影响，2026年上半年公司部分订单交付及解决方案总包项目工程履行进度有所放缓，营业收入同比下降10%左右；2、公司投资参股的赫普能源环境科技股份有限公司，主要从事电力调峰辅助服务,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,华鑫股份（600621）~142亿,🔴 预增,-79.46%,待补（研究中）,1.78,-79.46%,待补（研究中）,1.78,证券,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,齐翔腾达（002408）~139亿,🟢 同向上升,+374.64% ~ +423.88%,待补（研究中）,0.23,+331.92% ~ +381.41%,待补（研究中）,0.22,甲乙酮、顺酐、化工新材料,2026年半年度，公司业绩较去年同期实现大幅增长，主要原因为：2026年，化工行业周期触底后缓慢修复。同时，国际能源价格大幅波动，带动公司主要产品价格显著上涨，盈利能力明显提升，从而推动净利润同比大幅增长。此外，国外化工产能出清进程加速，供,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,海正药业（600267）~127亿,🟢 预增,+52.54% ~ +64.99%,待补（研究中）,2.99,+52.54% ~ +64.99%,待补（研究中）,3.21,原料药、制剂,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
